0,N
1,X
2,XX
3,XXX
4,S-sym
5,B-sym
6,M-sym
7,E-sym
8,S-bod
9,B-bod
10,M-bod
11,E-bod
12,S-tre
13,B-tre
14,M-tre
15,E-tre
16,S-dis
17,B-dis
18,M-dis
19,E-dis
20,S-tes
21,B-tes
22,M-tes
23,E-tes
24,B-nt
25,M-nt
26,E-nt
